"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,30,31,"=""09/09/2026""","=""09/09/2026""",IC2103,0,PHP,"ABC Cateel Box Bananas - 1",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1000,PR00,40939,1,PHP,,3200010070,"=""163""",P01,"=""249""","=""242""",,"=""146"""
ZPSO,3200,30,31,"=""09/09/2026""","=""09/09/2026""",IC2103,0,PHP,"ABC Cateel Box Bananas - 1",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1540,PR00,40939,1,PHP,,3200010070,"=""181""",P01,"=""249""","=""238""",,"=""154"""
ZPSO,3200,30,31,"=""09/09/2026""","=""09/09/2026""",IC2103,0,PHP,"ABC Cateel Box Bananas - 1",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1000,PR00,40939,1,PHP,,3200010070,"=""163""",P01,"=""249""","=""233""",,"=""146"""
ZPSO,3200,30,31,"=""09/09/2026""","=""09/09/2026""",IC2103,0,PHP,"ABC Cateel Box Bananas - 1",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1540,PR00,40939,1,PHP,,3200010070,"=""173""",P01,"=""249""","=""231""",,"=""132"""
ZPSO,3200,30,31,"=""09/09/2026""","=""09/09/2026""",IC2103,0,PHP,"ABC Cateel Box Bananas - 1",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1540,PR00,43057,1,PHP,,3200010070,"=""176""",P01,"=""249""","=""244""",,"=""131"""
ZPSO,3200,30,31,"=""09/09/2026""","=""09/09/2026""",IC2103,0,PHP,"ABC Cateel Box Bananas - 1",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1540,PR00,43057,1,PHP,,3200010070,"=""174""",P01,"=""249""","=""238""",,"=""138"""
ZPSO,3200,30,31,"=""09/09/2026""","=""09/09/2026""",IC2103,0,PHP,"ABC Cateel Box Bananas - 1",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1000,PR00,43057,1,PHP,,3200010070,"=""181""",P01,"=""249""","=""242""",,"=""154"""
ZPSO,3200,30,31,"=""09/09/2026""","=""09/09/2026""",IC2103,0,PHP,"ABC Cateel Box Bananas - 1",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1540,PR00,43057,1,PHP,,3200010070,"=""166""",P01,"=""249""","=""233""",,"=""069"""
ZPSO,3200,30,31,"=""09/09/2026""","=""09/09/2026""",IC2103,0,PHP,"ABC Cateel Box Bananas - 1",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1540,PR00,43057,1,PHP,,3200010070,"=""163""",P01,"=""249""","=""244""",,"=""146"""
ZPSO,3200,30,31,"=""09/09/2026""","=""09/09/2026""",IC2103,0,PHP,"ABC Cateel Box Bananas - 1",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1540,PR00,43057,1,PHP,,3200010070,"=""176""",P01,"=""249""","=""231""",,"=""131"""
