"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1540,PR00,17959,1,PHP,,3200010050,"=""104""",P01,"=""255""","=""149""",,"=""118"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1000,PR00,19089,1,PHP,,3200010050,"=""037""",P01,"=""253""","=""167""",,"=""061"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1540,PR00,17959,1,PHP,,3200010050,"=""037""",P01,"=""255""","=""130""",,"=""021"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1540,PR00,17959,1,PHP,,3200010050,"=""037""",P01,"=""255""","=""146""",,"=""106"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1540,PR00,17959,1,PHP,,3200010050,"=""069""",P01,"=""255""","=""130""",,"=""021"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1004,PR00,19089,1,PHP,,3200010050,"=""104""",P01,"=""253""","=""167""",,"=""061"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1000,PR00,19089,1,PHP,,3200010050,"=""104""",P01,"=""253""","=""137""",,"=""115"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1008,PR00,19089,1,PHP,,3200010050,"=""069""",P01,"=""253""","=""161""",,"=""079"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1024,PR00,19089,1,PHP,,3200010050,"=""037""",P01,"=""253""","=""139""",,"=""073"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1540,PR00,17959,1,PHP,,3200010050,"=""104""",P01,"=""255""","=""167""",,"=""061"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",110,FS00000002,1,TRP,1004,PR00,19089,1,PHP,,3200010050,"=""069""",P01,"=""253""","=""149""",,"=""118"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",120,FS00000002,1,TRP,1012,PR00,19089,1,PHP,,3200010050,"=""037""",P01,"=""253""","=""133""",,"=""082"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",130,FS00000002,1,TRP,1000,PR00,19089,1,PHP,,3200010050,"=""104""",P01,"=""253""","=""146""",,"=""115"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",140,FS00000002,1,TRP,1540,PR00,17959,1,PHP,,3200010050,"=""069""",P01,"=""255""","=""130""",,"=""021"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",150,FS00000002,1,TRP,1004,PR00,19089,1,PHP,,3200010050,"=""104""",P01,"=""253""","=""149""",,"=""118"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",160,FS00000002,1,TRP,1000,PR00,19089,1,PHP,,3200010050,"=""069""",P01,"=""253""","=""133""",,"=""082"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",170,FS00000002,1,TRP,1540,PR00,17959,1,PHP,,3200010050,"=""037""",P01,"=""255""","=""146""",,"=""115"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",180,FS00000002,1,TRP,1004,PR00,19089,1,PHP,,3200010050,"=""104""",P01,"=""253""","=""167""",,"=""061"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",190,FS00000002,1,TRP,1540,PR00,17959,1,PHP,,3200010050,"=""069""",P01,"=""255""","=""130""",,"=""021"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",200,FS00000002,1,TRP,1008,PR00,19089,1,PHP,,3200010050,"=""037""",P01,"=""253""","=""137""",,"=""115"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",210,FS00000002,1,TRP,1000,PR00,19089,1,PHP,,3200010050,"=""104""",P01,"=""253""","=""161""",,"=""079"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",220,FS00000002,1,TRP,1000,PR00,19089,1,PHP,,3200010050,"=""069""",P01,"=""253""","=""149""",,"=""118"""
ZPSO,3200,30,31,"=""08/29/2026""","=""08/29/2026""",IC2100,0,PHP,"ABC Pantukan Box Bananas - 3",,"Hauling Containerized Bananas",230,FS00000002,1,TRP,1004,PR00,19089,1,PHP,,3200010050,"=""104""",P01,"=""253""","=""133""",,"=""082"""
