"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",10,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,051,,258,181,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",20,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,086,,258,176,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",30,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,065,,258,172,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",40,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,029,,258,640,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",50,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,070,,258,178,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",60,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,042,,256,182,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",70,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,184,,256,286,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",80,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,143,,256,065,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",90,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,048,,256,339,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",100,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,117,,256,358,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",110,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,091,,258,174,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",120,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,178,,258,066,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",130,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,130,,258,215,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",140,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,033,,258,197,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",150,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,022,,258,085,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",160,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,091,,258,174,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",170,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,097,,258,344,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",180,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,065,,258,172,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",190,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,022,,256,251,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",200,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,032,,256,338,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",210,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,170,,256,198,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",220,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,150,,258,203,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",230,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,070,,258,178,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",240,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,092,,256,251,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",250,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,117,,256,385,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",260,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,022,,258,081,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",270,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,184,,258,261,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",280,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,061,,256,170,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",290,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,022,,256,179,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",300,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,103,,,183,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",310,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,086,,258,176,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",320,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,029,,258,294,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",330,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,109,,256,180,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",340,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,033,,256,197,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",350,FS00000019,1,TRP,,PR00,6762,0,PHP,,3200030030,022,,257,385,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",360,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,055,,256,081,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",370,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,154,,256,261,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",380,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,069,,256,207,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",390,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,086,,256,176,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",400,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,141,,256,200,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",410,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,068,,256,317,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",420,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,069,,256,042,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",430,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,055,,258,072,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",440,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,055,,258,072,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",450,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,117,,258,332,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",460,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,133,,256,347,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",470,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,094,,258,179,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",480,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,130,,258,332,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",490,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,061,,258,170,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",500,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,109,,256,180,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",510,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,061,,,133,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",520,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,070,,258,178,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",530,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,065,,256,172,,
ZPSO,3200,20,31,"=""09/09/2026""","=""09/09/2026""",10003592,0,PHP,"Citihardware Dry Van - 1",,"Hauling Dry Vans",540,FS00000019,1,TRP,,PR00,3524,0,PHP,,3200030030,051,,258,181,,
