"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,20,31,"=""08/22/2026""","=""08/22/2026""",10000013,0,USD,"Dole Asia ABC Lupon Reefer Vans - 1",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1320,PR00,437646.21,1000,USD,60.702,3200010040,"=""146""",,"=""252""","=""414""",,"=""043"""
ZPSO,3200,20,31,"=""08/22/2026""","=""08/22/2026""",10000013,0,USD,"Dole Asia ABC Lupon Reefer Vans - 1",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1058,PR00,437646.21,1000,USD,60.702,3200010040,"=""154""",,"=""252""","=""241""",,"=""134"""
ZPSO,3200,20,31,"=""08/22/2026""","=""08/22/2026""",10000013,0,USD,"Dole Asia ABC Lupon Reefer Vans - 1",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1084,PR00,437646.21,1000,USD,60.702,3200010040,"=""141""",,"=""252""","=""229""",,"=""038"""
ZPSO,3200,20,31,"=""08/22/2026""","=""08/22/2026""",10000013,0,USD,"Dole Asia ABC Lupon Reefer Vans - 1",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1320,PR00,437646.21,1000,USD,60.702,3200010040,"=""151""",,"=""252""","=""243""",,"=""127"""
ZPSO,3200,20,31,"=""08/22/2026""","=""08/22/2026""",10000013,0,USD,"Dole Asia ABC Lupon Reefer Vans - 1",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1030,PR00,437646.21,1000,USD,60.702,3200010040,"=""151""",,"=""252""","=""245""",,"=""127"""
ZPSO,3200,20,31,"=""08/22/2026""","=""08/22/2026""",10000013,0,USD,"Dole Asia ABC Lupon Reefer Vans - 1",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1320,PR00,437646.21,1000,USD,60.702,3200010040,"=""146""",,"=""252""","=""255""",,"=""043"""
ZPSO,3200,20,31,"=""08/22/2026""","=""08/22/2026""",10000013,0,USD,"Dole Asia ABC Lupon Reefer Vans - 1",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1320,PR00,437646.21,1000,USD,60.702,3200010040,"=""146""",,"=""252""","=""253""",,"=""043"""
ZPSO,3200,20,31,"=""08/22/2026""","=""08/22/2026""",10000013,0,USD,"Dole Asia ABC Lupon Reefer Vans - 1",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1014,PR00,437646.21,1000,USD,60.702,3200010040,"=""154""",,"=""252""","=""255""",,"=""134"""
ZPSO,3200,20,31,"=""08/22/2026""","=""08/22/2026""",10000013,0,USD,"Dole Asia ABC Lupon Reefer Vans - 1",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1320,PR00,437646.21,1000,USD,60.702,3200010040,"=""151""",,"=""252""","=""414""",,"=""127"""
ZPSO,3200,20,31,"=""08/22/2026""","=""08/22/2026""",10000013,0,USD,"Dole Asia ABC Lupon Reefer Vans - 1",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1112,PR00,437646.21,1000,USD,60.702,3200010040,"=""146""",,"=""252""","=""243""",,"=""043"""
ZPSO,3200,20,31,"=""08/22/2026""","=""08/22/2026""",10000013,0,USD,"Dole Asia ABC Lupon Reefer Vans - 1",,"Hauling Containerized Bananas",110,FS00000002,1,TRP,1078,PR00,437646.21,1000,USD,60.702,3200010040,"=""141""",,"=""252""","=""417""",,"=""038"""
ZPSO,3200,20,31,"=""08/22/2026""","=""08/22/2026""",10000013,0,USD,"Dole Asia ABC Lupon Reefer Vans - 1",,"Hauling Containerized Bananas",120,FS00000002,1,TRP,885,PR00,437646.21,1000,USD,60.702,3200010040,"=""141""",,"=""252""","=""229""",,"=""038"""
