"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1102,PR00,166936.61,1000,USD,62.359,3200010010,"=""132""",,"=""206""","=""415""",,"=""029"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1066,PR00,166936.61,1000,USD,62.359,3200010010,"=""153""",,"=""222""","=""106""",,"=""099"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1116,PR00,166936.61,1000,USD,62.359,3200010010,"=""191""",,"=""216""","=""060""",,"=""109"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1050,PR00,166936.61,1000,USD,62.359,3200010010,"=""132""",,"=""206""","=""092""",,"=""029"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,507,PR00,166936.61,1000,USD,62.359,3200010010,"=""132""",,"=""206""","=""415""",,"=""029"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1050,PR00,166936.61,1000,USD,62.359,3200010010,"=""135""",,"=""206""","=""092""",,"=""032"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1050,PR00,166936.61,1000,USD,62.359,3200010010,"=""190""",,"=""240""","=""107""",,"=""081"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1320,PR00,133934.16,1000,USD,62.359,3200010010,"=""191""",,"=""216""","=""011""",,"=""109"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,857,PR00,166936.61,1000,USD,62.359,3200010010,"=""191""",,"=""216""","=""060""",,"=""109"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1040,PR00,166936.61,1000,USD,62.359,3200010010,"=""139""",,"=""230""","=""257""",,"=""068"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",110,FS00000002,1,TRP,1040,PR00,166936.61,1000,USD,62.359,3200010010,"=""134""",,"=""222""","=""106""",,"=""031"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",120,FS00000002,1,TRP,1100,PR00,166936.61,1000,USD,62.359,3200010010,"=""190""",,"=""240""","=""099""",,"=""081"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",130,FS00000002,1,TRP,1080,PR00,166936.61,1000,USD,62.359,3200010010,"=""088""",,"=""203""","=""156""",,"=""130"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",140,FS00000002,1,TRP,626,PR00,166936.61,1000,USD,62.359,3200010010,"=""182""",,"=""238""","=""265""",,"=""155"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",150,FS00000002,1,TRP,1320,PR00,148799.69,1000,USD,62.359,3200010010,"=""171""",,"=""216""","=""389""",,"=""053"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",160,FS00000002,1,TRP,1120,PR00,185474.43,1000,USD,62.359,3200010010,"=""135""",,"=""206""","=""092""",,"=""032"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",170,FS00000002,1,TRP,1320,PR00,148799.69,1000,USD,62.359,3200010010,"=""190""",,"=""240""","=""267""",,"=""081"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",180,FS00000002,1,TRP,1100,PR00,185474.43,1000,USD,62.359,3200010010,"=""183""",,"=""240""","=""099""",,"=""007"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",190,FS00000002,1,TRP,1030,PR00,185474.43,1000,USD,62.359,3200010010,"=""164""",,"=""203""","=""367""",,"=""112"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",200,FS00000002,1,TRP,1070,PR00,185474.43,1000,USD,62.359,3200010010,"=""164""",,"=""203""","=""156""",,"=""112"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",210,FS00000002,1,TRP,1122,PR00,185474.43,1000,USD,62.359,3200010010,"=""191""",,"=""216""","=""315""",,"=""109"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",220,FS00000002,1,TRP,1062,PR00,185474.43,1000,USD,62.359,3200010010,"=""169""",,"=""238""","=""340""",,"=""123"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",230,FS00000002,1,TRP,1020,PR00,185474.43,1000,USD,62.359,3200010010,"=""182""",,"=""220""","=""258""",,"=""064"""
ZPSO,3200,20,31,"=""09/05/2026""","=""09/05/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",240,FS00000002,1,TRP,1030,PR00,185474.43,1000,USD,62.359,3200010010,"=""134""",,"=""222""","=""106""",,"=""031"""
