"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,20,31,"=""08/26/2026""","=""08/26/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1100,PR00,170810.72,1000,USD,61.735,3200010010,"=""134""",,"=""222""","=""106""",,"=""047"""
ZPSO,3200,20,31,"=""08/26/2026""","=""08/26/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1086,PR00,170810.72,1000,USD,61.735,3200010010,"=""185""",,"=""220""","=""258""",,"=""064"""
ZPSO,3200,20,31,"=""08/26/2026""","=""08/26/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1070,PR00,170810.72,1000,USD,61.735,3200010010,"=""135""",,"=""206""","=""415""",,"=""032"""
ZPSO,3200,20,31,"=""08/26/2026""","=""08/26/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1080,PR00,170810.72,1000,USD,61.735,3200010010,"=""169""",,"=""238""","=""067""",,"=""123"""
ZPSO,3200,20,31,"=""08/26/2026""","=""08/26/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1076,PR00,170810.72,1000,USD,61.735,3200010010,"=""153""",,"=""222""","=""106""",,"=""099"""
ZPSO,3200,20,31,"=""08/26/2026""","=""08/26/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1090,PR00,170810.72,1000,USD,61.735,3200010010,"=""135""",,"=""206""","=""092""",,"=""032"""
ZPSO,3200,20,31,"=""08/26/2026""","=""08/26/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1080,PR00,170810.72,1000,USD,61.735,3200010010,"=""169""",,"=""238""","=""340""",,"=""123"""
ZPSO,3200,20,31,"=""08/26/2026""","=""08/26/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1138,PR00,170810.72,1000,USD,61.735,3200010010,"=""182""",,"=""234""","=""135""",,"=""091"""
ZPSO,3200,20,31,"=""08/26/2026""","=""08/26/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1100,PR00,170810.72,1000,USD,61.735,3200010010,"=""180""",,"=""234""","=""135""",,"=""091"""
ZPSO,3200,20,31,"=""08/26/2026""","=""08/26/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1060,PR00,170810.72,1000,USD,61.735,3200010010,"=""171""",,"=""238""","=""340""",,"=""053"""
