"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1060,PR00,168544.78,1000,USD,61.764,3200010010,"=""198""",,"=""216""","=""060""",,"=""094"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1320,PR00,135224.4,1000,USD,61.764,3200010010,"=""183""",,"=""240""","=""267""",,"=""007"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1090,PR00,168544.78,1000,USD,61.764,3200010010,"=""198""",,"=""216""","=""268""",,"=""094"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1320,PR00,135224.4,1000,USD,61.764,3200010010,"=""183""",,"=""240""","=""151""",,"=""102"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1090,PR00,168544.78,1000,USD,61.764,3200010010,"=""183""",,"=""240""","=""099""",,"=""007"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1092,PR00,168544.78,1000,USD,61.764,3200010010,"=""169""",,"=""238""","=""340""",,"=""123"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1040,PR00,168544.78,1000,USD,61.764,3200010010,"=""171""",,"=""216""","=""315""",,"=""053"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,440,PR00,168544.78,1000,USD,61.764,3200010010,"=""180""",,"=""234""","=""121""",,"=""067"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1200,PR00,168544.78,1000,USD,61.764,3200010010,"=""171""",,"=""216""","=""389""",,"=""053"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1076,PR00,168544.78,1000,USD,61.764,3200010010,"=""182""",,"=""238""","=""067""",,"=""155"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",110,FS00000002,1,TRP,1320,PR00,135224.4,1000,USD,61.764,3200010010,"=""183""",,"=""240""","=""151""",,"=""102"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",120,FS00000002,1,TRP,1096,PR00,168544.78,1000,USD,61.764,3200010010,"=""198""",,"=""216""","=""323""",,"=""094"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",130,FS00000002,1,TRP,1030,PR00,168544.78,1000,USD,61.764,3200010010,"=""157""",,"=""242""","=""282""",,"=""065"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",140,FS00000002,1,TRP,745,PR00,168544.78,1000,USD,61.764,3200010010,"=""198""",,"=""216""","=""323""",,"=""094"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",150,FS00000002,1,TRP,1090,PR00,168544.78,1000,USD,61.764,3200010010,"=""169""",,"=""238""","=""340""",,"=""123"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",160,FS00000002,1,TRP,892,PR00,168544.78,1000,USD,61.764,3200010010,"=""183""",,"=""240""","=""107""",,"=""007"""
ZPSO,3200,20,31,"=""09/02/2026""","=""09/02/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 1",,"Hauling Containerized Bananas",170,FS00000002,1,TRP,535,PR00,168544.78,1000,USD,61.764,3200010010,"=""157""",,"=""242""","=""282""",,"=""065"""
