"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,20,31,"=""09/10/2026""","=""09/10/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 4",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1110,PR00,174343.68,1000,USD,62.698,3200010010,"=""124""",,"=""236""","=""239""",,"=""086"""
ZPSO,3200,20,31,"=""09/10/2026""","=""09/10/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 4",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1020,PR00,166034,1000,USD,62.698,3200010010,"=""124""",,"=""236""","=""165""",,"=""086"""
ZPSO,3200,20,31,"=""09/10/2026""","=""09/10/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 4",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1120,PR00,166034,1000,USD,62.698,3200010010,"=""124""",,"=""236""","=""087""",,"=""086"""
ZPSO,3200,20,31,"=""09/10/2026""","=""09/10/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 4",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1088,PR00,166034,1000,USD,62.698,3200010010,"=""124""",,"=""236""","=""165""",,"=""086"""
ZPSO,3200,20,31,"=""09/10/2026""","=""09/10/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 4",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1120,PR00,166034,1000,USD,62.698,3200010010,"=""124""",,"=""236""","=""087""",,"=""086"""
ZPSO,3200,20,31,"=""09/10/2026""","=""09/10/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 4",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1012,PR00,166034,1000,USD,62.698,3200010010,"=""124""",,"=""236""","=""165""",,"=""086"""
ZPSO,3200,20,31,"=""09/10/2026""","=""09/10/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 4",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1106,PR00,166034,1000,USD,62.698,3200010010,"=""124""",,"=""236""","=""165""",,"=""086"""
ZPSO,3200,20,31,"=""09/10/2026""","=""09/10/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 4",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1122,PR00,166034,1000,USD,62.698,3200010010,"=""124""",,"=""236""","=""087""",,"=""086"""
ZPSO,3200,20,31,"=""09/10/2026""","=""09/10/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 4",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1030,PR00,166034,1000,USD,62.698,3200010010,"=""047""",,"=""203""","=""367""",,"=""128"""
ZPSO,3200,20,31,"=""09/10/2026""","=""09/10/2026""",10000013,0,USD,"Dole Asia TDC Reefer Vans - 4",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1112,PR00,166034,1000,USD,62.698,3200010010,"=""124""",,"=""236""","=""165""",,"=""086"""
