"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,20,31,"=""08/12/2026""","=""08/12/2026""",10003345,0,USD,"Sumifru Reefer Vans - 1",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1000,PR00,229694.27,1000,USD,60.968,3200010020,"=""152""",,"=""228""","=""302""",,"=""117"""
ZPSO,3200,20,31,"=""08/12/2026""","=""08/12/2026""",10003345,0,USD,"Sumifru Reefer Vans - 1",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1000,PR00,229694.27,1000,USD,60.968,3200010020,"=""149""",,"=""218""","=""278""",,"=""054"""
ZPSO,3200,20,31,"=""08/12/2026""","=""08/12/2026""",10003345,0,USD,"Sumifru Reefer Vans - 1",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1000,PR00,229694.27,1000,USD,60.968,3200010020,"=""149""",,"=""218""","=""250""",,"=""054"""
ZPSO,3200,20,31,"=""08/12/2026""","=""08/12/2026""",10003345,0,USD,"Sumifru Reefer Vans - 1",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1078,PR00,222165.73,1000,USD,60.968,3200010020,"=""149""",,"=""218""","=""416""",,"=""054"""
ZPSO,3200,20,31,"=""08/12/2026""","=""08/12/2026""",10003345,0,USD,"Sumifru Reefer Vans - 1",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1000,PR00,222165.73,1000,USD,60.968,3200010020,"=""136""",,"=""228""","=""024""",,"=""037"""
ZPSO,3200,20,31,"=""08/12/2026""","=""08/12/2026""",10003345,0,USD,"Sumifru Reefer Vans - 1",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1116,PR00,222165.73,1000,USD,60.968,3200010020,"=""133""",,"=""218""","=""227""",,"=""030"""
ZPSO,3200,20,31,"=""08/12/2026""","=""08/12/2026""",10003345,0,USD,"Sumifru Reefer Vans - 1",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1000,PR00,222165.73,1000,USD,60.968,3200010020,"=""137""",,"=""228""","=""100""",,"=""034"""
ZPSO,3200,20,31,"=""08/12/2026""","=""08/12/2026""",10003345,0,USD,"Sumifru Reefer Vans - 1",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1000,PR00,222165.73,1000,USD,60.968,3200010020,"=""155""",,"=""218""","=""416""",,"=""141"""
ZPSO,3200,20,31,"=""08/12/2026""","=""08/12/2026""",10003345,0,USD,"Sumifru Reefer Vans - 1",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1118,PR00,222165.73,1000,USD,60.968,3200010020,"=""155""",,"=""218""","=""278""",,"=""141"""
ZPSO,3200,20,31,"=""08/12/2026""","=""08/12/2026""",10003345,0,USD,"Sumifru Reefer Vans - 1",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1000,PR00,222165.73,1000,USD,60.968,3200010020,"=""136""",,"=""228""","=""048""",,"=""037"""
