"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,20,31,"=""08/13/2026""","=""08/13/2026""",10003345,0,USD,"Sumifru Reefer Vans - 2",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1000,PR00,221671.25,1000,USD,61.104,3200010020,"=""148""",,"=""218""","=""411""",,"=""052"""
ZPSO,3200,20,31,"=""08/13/2026""","=""08/13/2026""",10003345,0,USD,"Sumifru Reefer Vans - 2",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1000,PR00,221671.25,1000,USD,61.104,3200010020,"=""148""",,"=""218""","=""235""",,"=""052"""
ZPSO,3200,20,31,"=""08/13/2026""","=""08/13/2026""",10003345,0,USD,"Sumifru Reefer Vans - 2",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1000,PR00,221671.25,1000,USD,61.104,3200010020,"=""155""",,"=""218""","=""278""",,"=""141"""
ZPSO,3200,20,31,"=""08/13/2026""","=""08/13/2026""",10003345,0,USD,"Sumifru Reefer Vans - 2",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1000,PR00,221671.25,1000,USD,61.104,3200010020,"=""148""",,"=""218""","=""411""",,"=""052"""
ZPSO,3200,20,31,"=""08/13/2026""","=""08/13/2026""",10003345,0,USD,"Sumifru Reefer Vans - 2",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1000,PR00,221671.25,1000,USD,61.104,3200010020,"=""148""",,"=""218""","=""250""",,"=""052"""
ZPSO,3200,20,31,"=""08/13/2026""","=""08/13/2026""",10003345,0,USD,"Sumifru Reefer Vans - 2",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1050,PR00,221671.25,1000,USD,61.104,3200010020,"=""148""",,"=""218""","=""235""",,"=""052"""
ZPSO,3200,20,31,"=""08/13/2026""","=""08/13/2026""",10003345,0,USD,"Sumifru Reefer Vans - 2",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1000,PR00,221671.25,1000,USD,61.104,3200010020,"=""137""",,"=""466""","=""048""",,"=""034"""
ZPSO,3200,20,31,"=""08/13/2026""","=""08/13/2026""",10003345,0,USD,"Sumifru Reefer Vans - 2",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1000,PR00,221671.25,1000,USD,61.104,3200010020,"=""133""",,"=""466""","=""031""",,"=""030"""
ZPSO,3200,20,31,"=""08/13/2026""","=""08/13/2026""",10003345,0,USD,"Sumifru Reefer Vans - 2",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1000,PR00,221671.25,1000,USD,61.104,3200010020,"=""148""",,"=""218""","=""235""",,"=""052"""
ZPSO,3200,20,31,"=""08/13/2026""","=""08/13/2026""",10003345,0,USD,"Sumifru Reefer Vans - 2",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1000,PR00,221671.25,1000,USD,61.104,3200010020,"=""155""",,"=""218""","=""411""",,"=""141"""
ZPSO,3200,20,31,"=""08/13/2026""","=""08/13/2026""",10003345,0,USD,"Sumifru Reefer Vans - 2",,"Hauling Containerized Bananas",110,FS00000002,1,TRP,1000,PR00,221671.25,1000,USD,61.104,3200010020,"=""133""",,"=""466""","=""100""",,"=""030"""
ZPSO,3200,20,31,"=""08/13/2026""","=""08/13/2026""",10003345,0,USD,"Sumifru Reefer Vans - 2",,"Hauling Containerized Bananas",120,FS00000002,1,TRP,1000,PR00,221671.25,1000,USD,61.104,3200010020,"=""133""",,"=""466""","=""300""",,"=""030"""
