"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,20,31,"=""08/19/2026""","=""08/19/2026""",10003345,0,USD,"Sumifru Reefer Vans - 3",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1540,PR00,220566.68,1000,USD,61.41,3200010020,"=""152""",,"=""466""","=""302""",,"=""117"""
ZPSO,3200,20,31,"=""08/19/2026""","=""08/19/2026""",10003345,0,USD,"Sumifru Reefer Vans - 3",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1140,PR00,220566.68,1000,USD,61.41,3200010020,"=""152""",,"=""466""","=""163""",,"=""117"""
ZPSO,3200,20,31,"=""08/19/2026""","=""08/19/2026""",10003345,0,USD,"Sumifru Reefer Vans - 3",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1000,PR00,220566.68,1000,USD,61.41,3200010020,"=""137""",,"=""218""","=""411""",,"=""034"""
ZPSO,3200,20,31,"=""08/19/2026""","=""08/19/2026""",10003345,0,USD,"Sumifru Reefer Vans - 3",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1193,PR00,220566.68,1000,USD,61.41,3200010020,"=""148""",,"=""218""","=""278""",,"=""052"""
ZPSO,3200,20,31,"=""08/19/2026""","=""08/19/2026""",10003345,0,USD,"Sumifru Reefer Vans - 3",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1136,PR00,220566.68,1000,USD,61.41,3200010020,"=""152""",,"=""466""","=""024""",,"=""117"""
ZPSO,3200,20,31,"=""08/19/2026""","=""08/19/2026""",10003345,0,USD,"Sumifru Reefer Vans - 3",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1000,PR00,220566.68,1000,USD,61.41,3200010020,"=""136""",,"=""466""","=""247""",,"=""037"""
ZPSO,3200,20,31,"=""08/19/2026""","=""08/19/2026""",10003345,0,USD,"Sumifru Reefer Vans - 3",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1000,PR00,220566.68,1000,USD,61.41,3200010020,"=""136""",,"=""466""","=""247""",,"=""037"""
ZPSO,3200,20,31,"=""08/19/2026""","=""08/19/2026""",10003345,0,USD,"Sumifru Reefer Vans - 3",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1000,PR00,220566.68,1000,USD,61.41,3200010020,"=""155""",,"=""218""","=""235""",,"=""141"""
ZPSO,3200,20,31,"=""08/19/2026""","=""08/19/2026""",10003345,0,USD,"Sumifru Reefer Vans - 3",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1000,PR00,220566.68,1000,USD,61.41,3200010020,"=""148""",,"=""218""","=""304""",,"=""052"""
ZPSO,3200,20,31,"=""08/19/2026""","=""08/19/2026""",10003345,0,USD,"Sumifru Reefer Vans - 3",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1260,PR00,220566.68,1000,USD,61.41,3200010020,"=""133""",,"=""466""","=""031""",,"=""030"""
