"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,20,31,"=""08/24/2026""","=""08/24/2026""",10003345,0,USD,"Sumifru Reefer Vans - 4",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1000,PR00,218940.94,1000,USD,61.866,3200010020,"=""152""",,"=""466""","=""163""",,"=""117"""
ZPSO,3200,20,31,"=""08/24/2026""","=""08/24/2026""",10003345,0,USD,"Sumifru Reefer Vans - 4",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1000,PR00,218940.94,1000,USD,61.866,3200010020,"=""152""",,"=""466""","=""371""",,"=""117"""
ZPSO,3200,20,31,"=""08/24/2026""","=""08/24/2026""",10003345,0,USD,"Sumifru Reefer Vans - 4",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1000,PR00,218940.94,1000,USD,61.866,3200010020,"=""148""",,"=""218""","=""416""",,"=""052"""
ZPSO,3200,20,31,"=""08/24/2026""","=""08/24/2026""",10003345,0,USD,"Sumifru Reefer Vans - 4",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1000,PR00,218940.94,1000,USD,61.866,3200010020,"=""152""",,"=""466""","=""300""",,"=""117"""
ZPSO,3200,20,31,"=""08/24/2026""","=""08/24/2026""",10003345,0,USD,"Sumifru Reefer Vans - 4",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1000,PR00,218940.94,1000,USD,61.866,3200010020,"=""152""",,"=""466""","=""302""",,"=""117"""
ZPSO,3200,20,31,"=""08/24/2026""","=""08/24/2026""",10003345,0,USD,"Sumifru Reefer Vans - 4",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,976,PR00,218940.94,1000,USD,61.866,3200010020,"=""152""",,"=""466""","=""300""",,"=""117"""
ZPSO,3200,20,31,"=""08/24/2026""","=""08/24/2026""",10003345,0,USD,"Sumifru Reefer Vans - 4",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1000,PR00,218940.94,1000,USD,61.866,3200010020,"=""148""",,"=""218""","=""411""",,"=""052"""
ZPSO,3200,20,31,"=""08/24/2026""","=""08/24/2026""",10003345,0,USD,"Sumifru Reefer Vans - 4",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1004,PR00,218940.94,1000,USD,61.866,3200010020,"=""133""",,"=""466""","=""163""",,"=""030"""
ZPSO,3200,20,31,"=""08/24/2026""","=""08/24/2026""",10003345,0,USD,"Sumifru Reefer Vans - 4",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1000,PR00,218940.94,1000,USD,61.866,3200010020,"=""148""",,"=""218""","=""304""",,"=""052"""
ZPSO,3200,20,31,"=""08/24/2026""","=""08/24/2026""",10003345,0,USD,"Sumifru Reefer Vans - 4",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1004,PR00,218940.94,1000,USD,61.866,3200010020,"=""133""",,"=""466""","=""396""",,"=""030"""
ZPSO,3200,20,31,"=""08/24/2026""","=""08/24/2026""",10003345,0,USD,"Sumifru Reefer Vans - 4",,"Hauling Containerized Bananas",110,FS00000002,1,TRP,1012,PR00,218940.94,1000,USD,61.866,3200010020,"=""152""",,"=""466""","=""378""",,"=""117"""
ZPSO,3200,20,31,"=""08/24/2026""","=""08/24/2026""",10003345,0,USD,"Sumifru Reefer Vans - 4",,"Hauling Containerized Bananas",120,FS00000002,1,TRP,1004,PR00,218940.94,1000,USD,61.866,3200010020,"=""136""",,"=""466""","=""371""",,"=""037"""
ZPSO,3200,20,31,"=""08/24/2026""","=""08/24/2026""",10003345,0,USD,"Sumifru Reefer Vans - 4",,"Hauling Containerized Bananas",130,FS00000002,1,TRP,1012,PR00,218940.94,1000,USD,61.866,3200010020,"=""182""",,"=""466""","=""378""",,"=""155"""
