"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1260,PR00,219302.51,1000,USD,61.764,3200010020,"=""152""",,"=""466""","=""100""",,"=""117"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1540,PR00,219302.51,1000,USD,61.764,3200010020,"=""152""",,"=""466""","=""247""",,"=""117"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,964,PR00,219302.51,1000,USD,61.764,3200010020,"=""136""",,"=""466""","=""378""",,"=""037"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1260,PR00,219302.51,1000,USD,61.764,3200010020,"=""152""",,"=""466""","=""371""",,"=""117"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1008,PR00,219302.51,1000,USD,61.764,3200010020,"=""155""",,"=""218""","=""304""",,"=""141"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1240,PR00,219302.51,1000,USD,61.764,3200010020,"=""148""",,"=""218""","=""235""",,"=""052"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1008,PR00,219302.51,1000,USD,61.764,3200010020,"=""149""",,"=""218""","=""416""",,"=""054"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1080,PR00,219302.51,1000,USD,61.764,3200010020,"=""155""",,"=""218""","=""411""",,"=""141"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1012,PR00,219302.51,1000,USD,61.764,3200010020,"=""149""",,"=""218""","=""227""",,"=""054"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1260,PR00,219302.51,1000,USD,61.764,3200010020,"=""148""",,"=""218""","=""298""",,"=""052"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",110,FS00000002,1,TRP,1000,PR00,219302.51,1000,USD,61.764,3200010020,"=""152""",,"=""466""","=""378""",,"=""117"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",120,FS00000002,1,TRP,1540,PR00,219302.51,1000,USD,61.764,3200010020,"=""149""",,"=""466""","=""300""",,"=""054"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",130,FS00000002,1,TRP,1000,PR00,219302.51,1000,USD,61.764,3200010020,"=""152""",,"=""466""","=""247""",,"=""117"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",140,FS00000002,1,TRP,1164,PR00,219302.51,1000,USD,61.764,3200010020,"=""155""",,"=""218""","=""278""",,"=""141"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",150,FS00000002,1,TRP,1540,PR00,219302.51,1000,USD,61.764,3200010020,"=""148""",,"=""218""","=""250""",,"=""052"""
ZPSO,3200,20,31,"=""08/31/2026""","=""08/31/2026""",10003345,0,USD,"Sumifru Reefer Vans - 6",,"Hauling Containerized Bananas",160,FS00000002,1,TRP,1000,PR00,219302.51,1000,USD,61.764,3200010020,"=""152""",,"=""466""","=""247""",,"=""117"""
