"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1000,PR00,15076,1,PHP,,3200010080,"=""156""",P01,"=""469""","=""065""",,"=""104"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1000,PR00,13663,1,PHP,,3200010080,"=""160""",P01,"=""469""","=""153""",,"=""135"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1000,PR00,13663,1,PHP,,3200010080,"=""138""",P01,"=""464""","=""103""",,"=""035"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1012,PR00,13663,1,PHP,,3200010080,"=""125""",P01,"=""464""","=""103""",,"=""078"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1000,PR00,14369,1,PHP,,3200010080,"=""138""",P01,"=""469""","=""153""",,"=""035"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1004,PR00,14369,1,PHP,,3200010080,"=""071""",P01,"=""464""","=""155""",,"=""151"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1008,PR00,14369,1,PHP,,3200010080,"=""058""",P01,"=""464""","=""090""",,"=""070"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1008,PR00,14369,1,PHP,,3200010080,"=""071""",P01,"=""464""","=""119""",,"=""151"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1000,PR00,14369,1,PHP,,3200010080,"=""071""",P01,"=""202""","=""110""",,"=""151"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1004,PR00,14369,1,PHP,,3200010080,"=""058""",P01,"=""464""","=""138""",,"=""070"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",110,FS00000002,1,TRP,1016,PR00,14369,1,PHP,,3200010080,"=""089""",P01,"=""464""","=""119""",,"=""148"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",120,FS00000002,1,TRP,1012,PR00,14369,1,PHP,,3200010080,"=""071""",P01,"=""464""","=""162""",,"=""151"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",130,FS00000002,1,TRP,1000,PR00,14369,1,PHP,,3200010080,"=""138""",P01,"=""469""","=""153""",,"=""035"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",140,FS00000002,1,TRP,1008,PR00,14369,1,PHP,,3200010080,"=""089""",P01,"=""464""","=""065""",,"=""148"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",150,FS00000002,1,TRP,1000,PR00,14369,1,PHP,,3200010080,"=""160""",P01,"=""469""","=""153""",,"=""135"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",160,FS00000002,1,TRP,1012,PR00,14369,1,PHP,,3200010080,"=""058""",P01,"=""464""","=""138""",,"=""070"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",170,FS00000002,1,TRP,960,PR00,14369,1,PHP,,3200010080,"=""071""",P01,"=""464""","=""119""",,"=""151"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",180,FS00000002,1,TRP,1004,PR00,14369,1,PHP,,3200010080,"=""058""",P01,"=""464""","=""112""",,"=""070"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",190,FS00000002,1,TRP,1004,PR00,14369,1,PHP,,3200010080,"=""058""",P01,"=""464""","=""127""",,"=""070"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",200,FS00000002,1,TRP,960,PR00,14369,1,PHP,,3200010080,"=""071""",P01,"=""464""","=""418""",,"=""151"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",210,FS00000002,1,TRP,1000,PR00,14369,1,PHP,,3200010080,"=""138""",P01,"=""469""","=""123""",,"=""035"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",220,FS00000002,1,TRP,1028,PR00,14369,1,PHP,,3200010080,"=""089""",P01,"=""464""","=""119""",,"=""148"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",230,FS00000002,1,TRP,1012,PR00,14369,1,PHP,,3200010080,"=""071""",P01,"=""464""","=""110""",,"=""151"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",240,FS00000002,1,TRP,1000,PR00,14369,1,PHP,,3200010080,"=""138""",P01,"=""469""","=""153""",,"=""035"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",250,FS00000002,1,TRP,960,PR00,14369,1,PHP,,3200010080,"=""058""",P01,"=""464""","=""112""",,"=""070"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",260,FS00000002,1,TRP,1200,PR00,14369,1,PHP,,3200010080,"=""071""",P01,"=""464""","=""103""",,"=""151"""
ZPSO,3200,30,31,"=""09/12/2026""","=""09/12/2026""",IC2000,0,PHP,"TDC Farmind Box Bananas - 1",,"Hauling Containerized Bananas",270,FS00000002,1,TRP,1004,PR00,14369,1,PHP,,3200010080,"=""058""",P01,"=""464""","=""138""",,"=""070"""
