"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1540,PR00,10087,1,PHP,,3200010090,"=""153""",P01,"=""210""","=""252""",,"=""099"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1540,PR00,10087,1,PHP,,3200010090,"=""047""",P01,"=""203""","=""324""",,"=""128"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""160""",P01,"=""246""","=""384""",,"=""135"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1540,PR00,14369,1,PHP,,3200010090,"=""138""",P01,"=""248""","=""221""",,"=""035"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""088""",P01,"=""203""","=""388""",,"=""130"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1540,PR00,14369,1,PHP,,3200010090,"=""160""",P01,"=""248""","=""357""",,"=""135"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""088""",P01,"=""203""","=""324""",,"=""130"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""134""",P01,"=""222""","=""252""",,"=""031"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""088""",P01,"=""203""","=""104""",,"=""130"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""160""",P01,"=""246""","=""221""",,"=""135"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",110,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""134""",P01,"=""222""","=""301""",,"=""031"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",120,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""160""",P01,"=""246""","=""213""",,"=""135"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",130,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""139""",P01,"=""230""","=""120""",,"=""068"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",140,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""133""",P01,"=""206""","=""102""",,"=""030"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",150,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""140""",P01,"=""246""","=""409""",,"=""013"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",160,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""153""",P01,"=""222""","=""158""",,"=""099"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",170,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""183""",P01,"=""238""","=""314""",,"=""007"""
ZPSO,3200,30,31,"=""09/11/2026""","=""09/11/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 3",,"Hauling Containerized Bananas",180,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""088""",P01,"=""203""","=""388""",,"=""130"""
