"Order Type","Sales Organization","Distribution Channel",Division,"Document Date","Billing Date",Sold-To,"Customer Tax Class","Document Currency",Reference,"Vessel Visit","Billed Services","Item Number","Material Code","Order Quantity","Sales Unit","Alternate Quantity","Condition Type",Price,"Condition Unit",Currency,"Forex Rate","Profit Center",PM,Activity,Route,TR,RV,GS
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",10,FS00000002,1,TRP,1540,PR00,13662,1,PHP,,3200010090,"=""160""",P01,"=""248""","=""213""",,"=""135"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",20,FS00000002,1,TRP,1540,PR00,10087,1,PHP,,3200010090,"=""135""",P01,"=""206""","=""216""",,"=""032"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",30,FS00000002,1,TRP,1540,PR00,10087,1,PHP,,3200010090,"=""132""",P01,"=""238""","=""265""",,"=""029"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",40,FS00000002,1,TRP,1540,PR00,10087,1,PHP,,3200010090,"=""160""",P01,"=""246""","=""365""",,"=""135"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",50,FS00000002,1,TRP,1540,PR00,10087,1,PHP,,3200010090,"=""160""",P01,"=""246""","=""234""",,"=""135"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",60,FS00000002,1,TRP,1540,PR00,10087,1,PHP,,3200010090,"=""139""",P01,"=""230""","=""413""",,"=""068"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",70,FS00000002,1,TRP,1540,PR00,10087,1,PHP,,3200010090,"=""088""",P01,"=""203""","=""388""",,"=""130"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",80,FS00000002,1,TRP,1540,PR00,10087,1,PHP,,3200010090,"=""132""",P01,"=""206""","=""102""",,"=""029"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",90,FS00000002,1,TRP,1540,PR00,10087,1,PHP,,3200010090,"=""134""",P01,"=""222""","=""301""",,"=""031"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",100,FS00000002,1,TRP,1540,PR00,10087,1,PHP,,3200010090,"=""139""",P01,"=""230""","=""129""",,"=""068"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",110,FS00000002,1,TRP,1540,PR00,10087,1,PHP,,3200010090,"=""160""",P01,"=""246""","=""221""",,"=""135"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",120,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""134""",P01,"=""222""","=""301""",,"=""031"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",130,FS00000002,1,TRP,1540,PR00,14369,1,PHP,,3200010090,"=""133""",P01,"=""244""","=""219""",,"=""030"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",140,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""160""",P01,"=""246""","=""234""",,"=""135"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",150,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""160""",P01,"=""246""","=""409""",,"=""135"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",160,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""088""",P01,"=""203""","=""104""",,"=""130"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",170,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""169""",P01,"=""238""","=""068""",,"=""123"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",180,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""182""",P01,"=""220""","=""158""",,"=""155"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",190,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""088""",P01,"=""203""","=""388""",,"=""130"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",200,FS00000002,1,TRP,1540,PR00,14369,1,PHP,,3200010090,"=""156""",P01,"=""224""","=""252""",,"=""104"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",210,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""134""",P01,"=""222""","=""410""",,"=""031"""
ZPSO,3200,30,31,"=""09/05/2026""","=""09/05/2026""",IC2000,0,PHP,"TDC Goodfarmer Box Bananas - 1",,"Hauling Containerized Bananas",220,FS00000002,1,TRP,1540,PR00,10609,1,PHP,,3200010090,"=""182""",P01,"=""203""","=""104""",,"=""155"""
