entry_id,old_billing_sku,old_kms,new_billing_sku,new_kms
2806,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
69,"ABC PANTUKAN-PANTUKAN-DVO-DVO",,ABC-Pantukan-DVO-DVO,185.00
70,"ABC Lupon-0-PNB-DVO",,ABC-Lupon-PNB-PNB,202.00
73,"ABC Lupon-0-PNB-PNB",,ABC-Lupon-PNB-PNB,202.00
74,"ABC Lupon-LUPON-PNB-DVO",,ABC-Lupon-PNB-PNB,202.00
78,"ABC PANTUKAN-0-DVO-DVO",,ABC-Pantukan-DVO-DVO,185.00
80,"ABC Lupon-0-DVO-DVO",,ABC-Lupon-PNB-PNB,202.00
82,"ABC Cateel-0-PNB-PNB",,ABC-Cateel-PNB-PNB,308.00
88,Dole-16-DVO-DVO,,Dole-16-PNB-PNB,176.50
89,Dole-1-DVO-DVO,,Dole-1-PNB-PNB,107.00
96,Dole-0-DVO-DVO,,Dole-5-PNB-PNB,125.40
97,Dole-5-DVO-DVO,,Dole-5-PNB-PNB,125.40
98,Dole-0-DVO-DVO,,Dole-5-PNB-PNB,125.40
99,Dole-5-DVO-DVO,,Dole-5-PNB-PNB,125.40
123,"ABC Donmar-DONMAR-PNB-PNB",,ABC-Donmar-PNB-PNB,361.00
124,"ABC Donmar-0-DVO-DVO",,ABC-Donmar-DVO-DVO,340.00
125,"ABC Donmar-0-DVO-DVO",,ABC-Donmar-DVO-DVO,340.00
126,"ABC Donmar-0-PNB-PNB",,ABC-Donmar-PNB-PNB,361.00
128,"ABC Lupon-0-DVO-PNB",,ABC-Lupon-DVO-PNB,156.00
130,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
131,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
132,Sumifru-18-DVO-PNB,169.40,Sumifru-18-DVO-DVO,171.40
140,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
141,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
167,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
168,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
170,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
171,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
173,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
199,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
200,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
201,"Good Farmer-1-PNB-PNB",107.00,"Good Farmer-1-DVO-PNB",143.00
204,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
205,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
207,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
209,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
210,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
215,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
237,"Good Farmer-18-PNB-PNB",146.40,"Good Farmer-18-DVO-DVO",192.40
