route_id,sku_name,segment,farm,pullout,ph,delivered,SAP_ASSIGNED_NO
93,ABC-Cateel-DVO-DVO,"ABC Cateel",Cateel,DAVAO,CATEEL,DAVAO,
92,ABC-Cateel-DVO-PNB,"ABC Cateel",Cateel,DAVAO,CATEEL,PANABO,
91,ABC-Cateel-PNB-DVO,"ABC Cateel",Cateel,PANABO,CATEEL,DAVAO,
90,ABC-Cateel-PNB-PNB,"ABC Cateel",Cateel,PANABO,CATEEL,PANABO,
89,ABC-Donmar-DVO-DVO,"ABC Donmar",Donmar,DAVAO,DONMAR,DAVAO,
88,ABC-Donmar-DVO-PNB,"ABC Donmar",Donmar,DAVAO,DONMAR,PANABO,
87,ABC-Donmar-PNB-DVO,"ABC Donmar",Donmar,PANABO,DONMAR,DAVAO,
86,ABC-Donmar-PNB-PNB,"ABC Donmar",Donmar,PANABO,DONMAR,PANABO,
85,ABC-Lupon-DVO-DVO,"ABC Lupon",Lupon,DAVAO,LUPON,DAVAO,
84,ABC-Lupon-DVO-PNB,"ABC Lupon",Lupon,DAVAO,LUPON,PANABO,
83,ABC-Lupon-PNB-DVO,"ABC Lupon",Lupon,PANABO,LUPON,DAVAO,
82,ABC-Lupon-PNB-PNB,"ABC Lupon",Lupon,PANABO,LUPON,PANABO,
81,ABC-Pantukan-DVO-DVO,"ABC PANTUKAN",Pantukan,DAVAO,PANTUKAN,DAVAO,
80,ABC-Pantukan-DVO-PNB,"ABC PANTUKAN",Pantukan,DAVAO,PANTUKAN,PANABO,
79,ABC-Pantukan-PNB-DVO,"ABC PANTUKAN",Pantukan,PANABO,PANTUKAN,DAVAO,
78,ABC-Pantukan-PNB-PNB,"ABC PANTUKAN",Pantukan,PANABO,PANTUKAN,PANABO,
1,Dole-1-PNB-PNB,Dole,1,PANABO,PH01,PANABO,
161,Dole-1-PNB-PNB,Dole,3,PANABO,PH03,PANABO,
162,Dole-1-PNB-PNB,Dole,3,PANABO,PH03,PANABO,
5,Dole-11-PNB-PNB,Dole,11,PANABO,PH11,PANABO,
7,Dole-12-PNB-PNB,Dole,12,PANABO,PH12,PANABO,
8,Dole-14-PNB-PNB,Dole,14,PANABO,PH14,PANABO,
9,Dole-14-PNB-PNB,Dole,14,PANABO,PH14,PANABO,
14,Dole-15-PNB-PNB,Dole,15,PANABO,PH15,PANABO,
13,Dole-16-PNB-PNB,Dole,16,PANABO,PH16,PANABO,
12,Dole-17-PNB-PNB,Dole,17,PANABO,PH17,PANABO,
11,Dole-18-PNB-PNB,Dole,18,PANABO,PH18,PANABO,
2,Dole-2-PNB-PNB,Dole,2,PANABO,PH02,PANABO,
163,Dole-3-PNB-PNB,Dole,3,PANABO,PH03,PANABO,
3,Dole-4-PNB-PNB,Dole,4,PANABO,PH04,PANABO,
4,Dole-5-PNB-PNB,Dole,5,PANABO,PH05,PANABO,
6,Dole-7-PNB-PNB,Dole,7,PANABO,PH07,PANABO,
10,Dole-9-PNB-PNB,Dole,9,PANABO,PH09,PANABO,
152,"Dry Container-AGRI EXIM-DVO-DVO","Dry Container","AGRI EXIM",DAVAO,,DAVAO,
151,"Dry Container-AGRI EXIM-DVO-PNB","Dry Container","AGRI EXIM",DAVAO,,PANABO,
150,"Dry Container-AGRI EXIM-PNB-DVO","Dry Container","AGRI EXIM",PANABO,,DAVAO,
149,"Dry Container-AGRI EXIM-PNB-PNB","Dry Container","AGRI EXIM",PANABO,,PANABO,
132,"Dry Container-BIG4TUNA-DVO-DVO","Dry Container",BIG4TUNA,DAVAO,,DAVAO,
131,"Dry Container-BIG4TUNA-DVO-PNB","Dry Container",BIG4TUNA,DAVAO,,PANABO,
130,"Dry Container-BIG4TUNA-PNB-DVO","Dry Container",BIG4TUNA,PANABO,,DAVAO,
129,"Dry Container-BIG4TUNA-PNB-PNB","Dry Container",BIG4TUNA,PANABO,,PANABO,
140,"Dry Container-BIO PULP-DVO-DVO","Dry Container","BIO PULP",DAVAO,,DAVAO,
139,"Dry Container-BIO PULP-DVO-PNB","Dry Container","BIO PULP",DAVAO,,PANABO,
138,"Dry Container-BIO PULP-PNB-DVO","Dry Container","BIO PULP",PANABO,,DAVAO,
137,"Dry Container-BIO PULP-PNB-PNB","Dry Container","BIO PULP",PANABO,,PANABO,
112,"Dry Container-CTH-DVO-DVO","Dry Container",CTH,DAVAO,,DAVAO,
159,"Dry Container-CTH-DVO-DVO","Dry Container",CTH,DAVAO,,DAVAO,
110,"Dry Container-CTH-PNB-DVO","Dry Container",CTH,PANABO,,DAVAO,
111,"Dry Container-CTH-PNB-DVO","Dry Container",CTH,PANABO,,DAVAO,
158,"Dry Container-CTH-PNB-DVO","Dry Container",CTH,PANABO,,DAVAO,
109,"Dry Container-CTH-PNB-PNB","Dry Container",CTH,PANABO,,PANABO,
157,"Dry Container-CTH-PNB-PNB","Dry Container",CTH,PANABO,,PANABO,
144,"Dry Container-ECOSSENTIAL-DVO-DVO","Dry Container",ECOSSENTIAL,DAVAO,,DAVAO,
143,"Dry Container-ECOSSENTIAL-DVO-PNB","Dry Container",ECOSSENTIAL,DAVAO,,PANABO,
142,"Dry Container-ECOSSENTIAL-PNB-DVO","Dry Container",ECOSSENTIAL,PANABO,,DAVAO,
141,"Dry Container-ECOSSENTIAL-PNB-PNB","Dry Container",ECOSSENTIAL,PANABO,,PANABO,
136,"Dry Container-EYE CARGO-DVO-DVO","Dry Container","EYE CARGO",DAVAO,,DAVAO,
135,"Dry Container-EYE CARGO-DVO-PNB","Dry Container","EYE CARGO",DAVAO,,PANABO,
134,"Dry Container-EYE CARGO-PNB-DVO","Dry Container","EYE CARGO",PANABO,,DAVAO,
133,"Dry Container-EYE CARGO-PNB-PNB","Dry Container","EYE CARGO",PANABO,,PANABO,
148,"Dry Container-FRANKLIN BAKER-DVO-DVO","Dry Container","FRANKLIN BAKER",DAVAO,"FRANKLIN BAKER",DAVAO,
147,"Dry Container-FRANKLIN BAKER-DVO-PNB","Dry Container","FRANKLIN BAKER",DAVAO,"FRANKLIN BAKER",PANABO,
146,"Dry Container-FRANKLIN BAKER-PNB-DVO","Dry Container","FRANKLIN BAKER",PANABO,"FRANKLIN BAKER",DAVAO,
145,"Dry Container-FRANKLIN BAKER-PNB-PNB","Dry Container","FRANKLIN BAKER",PANABO,"FRANKLIN BAKER",PANABO,
124,"Dry Container-HEADSPORT-DVO-DVO","Dry Container",HEADSPORT,DAVAO,,DAVAO,
123,"Dry Container-HEADSPORT-DVO-PNB","Dry Container",HEADSPORT,DAVAO,,PANABO,
122,"Dry Container-HEADSPORT-PNB-DVO","Dry Container",HEADSPORT,PANABO,,DAVAO,
121,"Dry Container-HEADSPORT-PNB-PNB","Dry Container",HEADSPORT,PANABO,,PANABO,
104,"Dry Container-JDU-DVO-DVO","Dry Container",JDU,DAVAO,,DAVAO,
103,"Dry Container-JDU-DVO-PNB","Dry Container",JDU,DAVAO,,PANABO,
102,"Dry Container-JDU-PNB-DVO","Dry Container",JDU,PANABO,,DAVAO,
101,"Dry Container-JDU-PNB-PNB","Dry Container",JDU,PANABO,,PANABO,
128,"Dry Container-NOVOCOCONUT-DVO-DVO","Dry Container",NOVOCOCONUT,DAVAO,"NOVO COCONUT",DAVAO,
127,"Dry Container-NOVOCOCONUT-DVO-PNB","Dry Container",NOVOCOCONUT,DAVAO,"NOVO COCONUT",PANABO,
126,"Dry Container-NOVOCOCONUT-PNB-DVO","Dry Container",NOVOCOCONUT,PANABO,"NOVO COCONUT",DAVAO,
125,"Dry Container-NOVOCOCONUT-PNB-PNB","Dry Container",NOVOCOCONUT,PANABO,"NOVO COCONUT",PANABO,
116,"Dry Container-SOLARIS-DVO-DVO","Dry Container",SOLARIS,DAVAO,,DAVAO,
115,"Dry Container-SOLARIS-DVO-PNB","Dry Container",SOLARIS,DAVAO,,PANABO,
114,"Dry Container-SOLARIS-PNB-DVO","Dry Container",SOLARIS,PANABO,,DAVAO,
113,"Dry Container-SOLARIS-PNB-PNB","Dry Container",SOLARIS,PANABO,,PANABO,
120,"Dry Container-SOUTHERN HARVEST-DVO-DVO","Dry Container","SOUTHERN HARVEST",DAVAO,,DAVAO,
119,"Dry Container-SOUTHERN HARVEST-DVO-PNB","Dry Container","SOUTHERN HARVEST",DAVAO,,PANABO,
118,"Dry Container-SOUTHERN HARVEST-PNB-DVO","Dry Container","SOUTHERN HARVEST",PANABO,,DAVAO,
117,"Dry Container-SOUTHERN HARVEST-PNB-PNB","Dry Container","SOUTHERN HARVEST",PANABO,,PANABO,
108,"Dry Container-TPD-DVO-DVO","Dry Container",TPD,DAVAO,,DAVAO,
156,"Dry Container-TPD-DVO-DVO","Dry Container",TPD,DAVAO,,DAVAO,
107,"Dry Container-TPD-DVO-PNB","Dry Container",TPD,DAVAO,,PANABO,
155,"Dry Container-TPD-DVO-PNB","Dry Container",TPD,DAVAO,,PANABO,
106,"Dry Container-TPD-PNB-DVO","Dry Container",TPD,PANABO,,DAVAO,
154,"Dry Container-TPD-PNB-DVO","Dry Container",TPD,PANABO,,DAVAO,
105,"Dry Container-TPD-PNB-PNB","Dry Container",TPD,PANABO,,PANABO,
153,"Dry Container-TPD-PNB-PNB","Dry Container",TPD,PANABO,,PANABO,
60,Farmind-1-DVO-DVO,Farmind,1,DAVAO,PH01,DAVAO,
59,Farmind-1-DVO-PNB,Farmind,1,DAVAO,PH01,PANABO,
58,Farmind-1-PNB-DVO,Farmind,1,PANABO,PH01,DAVAO,
57,Farmind-1-PNB-PNB,Farmind,1,PANABO,PH01,PANABO,
63,Farmind-15-PNB-PNB,Farmind,15,PANABO,PH15,PANABO,
62,Farmind-18-DVO-DVO,Farmind,18,DAVAO,PH18,DAVAO,
61,Farmind-18-DVO-PNB,Farmind,18,DAVAO,PH18,PANABO,
55,Farmind-3-DVO-DVO,Farmind,3,DAVAO,PH03,DAVAO,
54,Farmind-3-DVO-PNB,Farmind,3,DAVAO,PH03,PANABO,
53,Farmind-3-PNB-DVO,Farmind,3,PANABO,PH03,DAVAO,
52,Farmind-3-PNB-PNB,Farmind,3,PANABO,PH03,PANABO,
56,Farmind-5-DVO-DVO,Farmind,5,DAVAO,PH05,DAVAO,
51,Farmind-6-DVO-DVO,Farmind,6,DAVAO,PH06,DAVAO,
42,"Good Farmer-1-DVO-DVO","Good Farmer",1,DAVAO,PH01,DAVAO,
41,"Good Farmer-1-DVO-PNB","Good Farmer",1,DAVAO,PH01,PANABO,
40,"Good Farmer-1-PNB-PNB","Good Farmer",1,PANABO,PH01,PANABO,
50,"Good Farmer-10-DVO-DVO","Good Farmer",10,DAVAO,PH10,DAVAO,
49,"Good Farmer-10-PNB-DVO","Good Farmer",10,PANABO,PH10,DAVAO,
48,"Good Farmer-10-PNB-PNB","Good Farmer",10,PANABO,PH10,PANABO,
39,"Good Farmer-11-DVO-DVO","Good Farmer",11,DAVAO,PH11,DAVAO,
38,"Good Farmer-11-DVO-PNB","Good Farmer",11,DAVAO,PH11,PANABO,
37,"Good Farmer-11-PNB-DVO","Good Farmer",11,PANABO,PH11,DAVAO,
36,"Good Farmer-11-PNB-PNB","Good Farmer",11,PANABO,PH11,PANABO,
35,"Good Farmer-15-DVO-DVO","Good Farmer",15,DAVAO,PH15,DAVAO,
34,"Good Farmer-15-DVO-PNB","Good Farmer",15,DAVAO,PH15,PANABO,
33,"Good Farmer-15-PNB-DVO","Good Farmer",15,PANABO,PH15,DAVAO,
32,"Good Farmer-15-PNB-PNB","Good Farmer",15,PANABO,PH15,PANABO,
31,"Good Farmer-17-DVO-DVO","Good Farmer",17,DAVAO,PH17,DAVAO,
30,"Good Farmer-17-DVO-PNB","Good Farmer",17,DAVAO,PH17,PANABO,
29,"Good Farmer-17-PNB-DVO","Good Farmer",17,PANABO,PH17,DAVAO,
28,"Good Farmer-17-PNB-PNB","Good Farmer",17,PANABO,PH17,PANABO,
27,"Good Farmer-18-DVO-DVO","Good Farmer",18,DAVAO,PH18,DAVAO,
25,"Good Farmer-18-DVO-PNB","Good Farmer",18,DAVAO,PH18,PANABO,
26,"Good Farmer-18-DVO-PNB","Good Farmer",18,DAVAO,PH18,PANABO,
24,"Good Farmer-18-PNB-DVO","Good Farmer",18,PANABO,PH18,DAVAO,
22,"Good Farmer-18-PNB-PNB","Good Farmer",18,PANABO,PH18,PANABO,
23,"Good Farmer-18-PNB-PNB","Good Farmer",18,PANABO,PH18,PANABO,
21,"Good Farmer-2-DVO-DVO","Good Farmer",2,DAVAO,PH02,DAVAO,
20,"Good Farmer-2-DVO-PNB","Good Farmer",2,DAVAO,PH02,PANABO,
19,"Good Farmer-2-PNB-DVO","Good Farmer",2,PANABO,PH02,DAVAO,
18,"Good Farmer-2-PNB-PNB","Good Farmer",2,PANABO,PH02,PANABO,
47,"Good Farmer-3-DVO-DVO","Good Farmer",3,DAVAO,PH03,DAVAO,
46,"Good Farmer-3-DVO-PNB","Good Farmer",3,DAVAO,PH03,PANABO,
45,"Good Farmer-3-PNB-DVO","Good Farmer",3,PANABO,PH03,DAVAO,
44,"Good Farmer-3-PNB-PNB","Good Farmer",3,PANABO,PH03,PANABO,
160,"Good Farmer-4-PNB-PNB","Good Farmer",4,PANABO,PH04,PANABO,
43,"Good Farmer-7-PNB-PNB","Good Farmer",7,PANABO,PH07,PANABO,
17,"Good Farmer-9-DVO-DVO","Good Farmer",9,DAVAO,PH09,DAVAO,
16,"Good Farmer-9-DVO-PNB","Good Farmer",9,DAVAO,PH09,PANABO,
15,"Good Farmer-9-PNB-PNB","Good Farmer",9,PANABO,PH09,PANABO,
69,Sumifru-1-DVO-DVO,Sumifru,1,DAVAO,PH01,DAVAO,
74,Sumifru-10-DVO-DVO,Sumifru,10,DAVAO,PH10,DAVAO,
73,Sumifru-10-DVO-PNB,Sumifru,10,DAVAO,PH10,PANABO,
76,Sumifru-11-DVO-DVO,Sumifru,11,DAVAO,PH11,DAVAO,
72,Sumifru-15-DVO-DVO,Sumifru,15,DAVAO,PH15,DAVAO,
75,Sumifru-17-DVO-DVO,Sumifru,17,DAVAO,PH17,DAVAO,
71,Sumifru-18-DVO-DVO,Sumifru,18,DAVAO,PH18,DAVAO,
70,Sumifru-18-DVO-PNB,Sumifru,18,DAVAO,PH18,PANABO,
68,Sumifru-2-DVO-DVO,Sumifru,2,DAVAO,PH02,DAVAO,
77,Sumifru-3-DVO-DVO,Sumifru,3,DAVAO,PH03,DAVAO,
67,Sumifru-6-DVO-DVO,Sumifru,6,DAVAO,PH06,DAVAO,
66,Sumifru-6-PNB-PNB,Sumifru,6,PANABO,PH06,PANABO,
65,Sumifru-7-DVO-DVO,Sumifru,7,DAVAO,PH07,DAVAO,
64,Sumifru-9-DVO-DVO,Sumifru,9,DAVAO,PH09,DAVAO,
100,"SVT_DEL MONTE-SVT-DVO-DVO","SVT_DEL MONTE",SVT,DAVAO,SVT,DAVAO,
99,"SVT_DEL MONTE-SVT-DVO-PNB ","SVT_DEL MONTE",SVT,DAVAO,SVT,PANABO,
98,"SVT_DEL MONTE-SVT-PNB-DVO","SVT_DEL MONTE",SVT,PANABO,SVT,DAVAO,
97,"SVT_DEL MONTE-SVT-PNB-PNB","SVT_DEL MONTE",SVT,PANABO,SVT,PANABO,
96,"TDC - CLASS B-SVT-DVO-DVO","TDC - CLASS B",SVT,DAVAO,SVT,DAVAO,
95,"TDC - CLASS B-SVT-DVO-PNB","TDC - CLASS B",SVT,DAVAO,SVT,PANABO,
94,"TDC - CLASS B-SVT-PNB-PNB","TDC - CLASS B",SVT,PANABO,SVT,PANABO,
