route_id,sku_name,segment,farm,pullout,ph,delivered,roundtrip_distance,SAP_ASSIGNED_NO
92,ABC-Cateel-DVO-PNB,"ABC Cateel",Cateel,DAVAO,CATEEL,PANABO,362.00,
91,ABC-Cateel-PNB-DVO,"ABC Cateel",Cateel,PANABO,CATEEL,DAVAO,362.00,
89,ABC-Donmar-DVO-DVO,"ABC Donmar",Donmar,DAVAO,DONMAR,DAVAO,340.00,
88,ABC-Donmar-DVO-PNB,"ABC Donmar",Donmar,DAVAO,DONMAR,PANABO,323.00,
87,ABC-Donmar-PNB-DVO,"ABC Donmar",Donmar,PANABO,DONMAR,DAVAO,323.00,
85,ABC-Lupon-DVO-DVO,"ABC Lupon",Lupon,DAVAO,LUPON,DAVAO,185.00,
84,ABC-Lupon-DVO-PNB,"ABC Lupon",Lupon,DAVAO,LUPON,PANABO,156.00,
83,ABC-Lupon-PNB-DVO,"ABC Lupon",Lupon,PANABO,LUPON,DAVAO,156.00,
161,Dole-1-PNB-PNB,Dole,3,PANABO,PH03,PANABO,107.00,
162,Dole-1-PNB-PNB,Dole,3,PANABO,PH03,PANABO,107.00,
1,Dole-1-PNB-PNB,Dole,1,PANABO,PH01,PANABO,107.00,
12,Dole-17-PNB-PNB,Dole,17,PANABO,PH17,PANABO,176.50,
11,Dole-18-PNB-PNB,Dole,18,PANABO,PH18,PANABO,176.50,
2,Dole-2-PNB-PNB,Dole,2,PANABO,PH02,PANABO,106.00,
163,Dole-3-PNB-PNB,Dole,3,PANABO,PH03,PANABO,107.00,
10,Dole-9-PNB-PNB,Dole,9,PANABO,PH09,PANABO,149.00,
152,"Dry Container-AGRI EXIM-DVO-DVO","Dry Container","AGRI EXIM",DAVAO,,DAVAO,120.00,
151,"Dry Container-AGRI EXIM-DVO-PNB","Dry Container","AGRI EXIM",DAVAO,,PANABO,120.00,
150,"Dry Container-AGRI EXIM-PNB-DVO","Dry Container","AGRI EXIM",PANABO,,DAVAO,120.00,
149,"Dry Container-AGRI EXIM-PNB-PNB","Dry Container","AGRI EXIM",PANABO,,PANABO,120.00,
132,"Dry Container-BIG4TUNA-DVO-DVO","Dry Container",BIG4TUNA,DAVAO,,DAVAO,83.50,
131,"Dry Container-BIG4TUNA-DVO-PNB","Dry Container",BIG4TUNA,DAVAO,,PANABO,48.00,
130,"Dry Container-BIG4TUNA-PNB-DVO","Dry Container",BIG4TUNA,PANABO,,DAVAO,48.00,
129,"Dry Container-BIG4TUNA-PNB-PNB","Dry Container",BIG4TUNA,PANABO,,PANABO,5.00,
140,"Dry Container-BIO PULP-DVO-DVO","Dry Container","BIO PULP",DAVAO,,DAVAO,75.10,
139,"Dry Container-BIO PULP-DVO-PNB","Dry Container","BIO PULP",DAVAO,,PANABO,61.10,
138,"Dry Container-BIO PULP-PNB-DVO","Dry Container","BIO PULP",PANABO,,DAVAO,61.10,
137,"Dry Container-BIO PULP-PNB-PNB","Dry Container","BIO PULP",PANABO,,PANABO,22.00,
144,"Dry Container-ECOSSENTIAL-DVO-DVO","Dry Container",ECOSSENTIAL,DAVAO,,DAVAO,75.10,
143,"Dry Container-ECOSSENTIAL-DVO-PNB","Dry Container",ECOSSENTIAL,DAVAO,,PANABO,61.10,
142,"Dry Container-ECOSSENTIAL-PNB-DVO","Dry Container",ECOSSENTIAL,PANABO,,DAVAO,61.10,
141,"Dry Container-ECOSSENTIAL-PNB-PNB","Dry Container",ECOSSENTIAL,PANABO,,PANABO,22.00,
136,"Dry Container-EYE CARGO-DVO-DVO","Dry Container","EYE CARGO",DAVAO,,DAVAO,75.10,
135,"Dry Container-EYE CARGO-DVO-PNB","Dry Container","EYE CARGO",DAVAO,,PANABO,61.10,
134,"Dry Container-EYE CARGO-PNB-DVO","Dry Container","EYE CARGO",PANABO,,DAVAO,61.10,
133,"Dry Container-EYE CARGO-PNB-PNB","Dry Container","EYE CARGO",PANABO,,PANABO,22.00,
148,"Dry Container-FRANKLIN BAKER-DVO-DVO","Dry Container","FRANKLIN BAKER",DAVAO,"FRANKLIN BAKER",DAVAO,120.00,
147,"Dry Container-FRANKLIN BAKER-DVO-PNB","Dry Container","FRANKLIN BAKER",DAVAO,"FRANKLIN BAKER",PANABO,120.00,
146,"Dry Container-FRANKLIN BAKER-PNB-DVO","Dry Container","FRANKLIN BAKER",PANABO,"FRANKLIN BAKER",DAVAO,120.00,
